fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,full_fips,coastalCounty,ALLCoastalCounty
06,001,0,G,749124,G,19325648,G,75849017,42318,23072,7329,5409,4046,1337,783,212,78,52,25,13,10,4,06001,1,0
06,001,11,J,211,J,5093,J,21626,21,13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,115,J,211,J,5093,J,21608,20,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,1151,J,159,J,4752,J,20137,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,11511,J,159,J,4752,J,20137,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,115112,J,77,J,2089,J,7620,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,1152,J,52,H,341,G,1471,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,11521,J,52,H,341,G,1471,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,115210,J,52,H,341,G,1471,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,21,G,247,H,7411,H,32959,9,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,212,G,216,H,6391,H,29259,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,2123,G,216,H,6391,H,29259,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,21232,G,102,H,3240,G,14351,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,212321,G,102,H,3240,G,14351,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,22,H,1776,H,109999,H,346560,40,25,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,221,H,1776,H,109999,H,346560,40,25,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,2211,H,1718,H,107903,H,334147,33,20,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,22111,G,209,H,12780,G,42879,22,14,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,221112,J,29,J,2754,J,7408,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,221114,H,99,J,2285,H,15274,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,221118,J,59,H,7104,H,17954,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,22112,H,1509,J,95123,J,291268,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,221122,H,1509,J,95123,J,291268,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,2212,J,37,J,1582,J,10204,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,22121,J,37,J,1582,J,10204,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,221210,J,37,J,1582,J,10204,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,2213,H,21,H,514,H,2209,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,22131,H,21,H,514,H,2209,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,221310,H,21,H,514,H,2209,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,23,G,47155,G,1153323,G,4891667,3163,1775,569,358,265,95,83,13,4,NA,NA,NA,NA,NA,06001,1,0
06,001,236,G,8735,G,203982,G,855529,1187,782,208,108,64,15,9,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,2361,G,5782,G,119922,G,483524,1025,720,181,70,40,8,6,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,23611,G,5782,G,119922,G,483524,1025,720,181,70,40,8,6,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,236115,G,876,G,13530,G,59815,217,163,38,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,236116,G,339,G,10684,G,45879,23,9,3,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,236117,G,543,G,27635,G,79141,16,8,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,236118,G,4024,G,68073,G,298689,769,540,140,50,33,3,3,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,2362,G,2953,G,84060,G,372005,162,62,27,38,24,7,3,NA,NA,NA,NA,NA,NA,NA,06001,1,0
06,001,23621,G,236,H,6130,H,34406,11,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06001,1,0
