zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name,coastalZip,coastalCounty,ALLCoastalCounty,fips,state
97009,0,270,162,47,37,15,4,5,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,0,270,162,47,37,15,4,5,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,23,90,58,18,9,4,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,23,90,58,18,9,4,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,236,26,19,3,3,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,236,26,19,3,3,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,2361,22,16,3,3,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,2361,22,16,3,3,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,23611,22,16,3,3,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,23611,22,16,3,3,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,236115,9,7,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,236115,9,7,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,236118,13,9,NA,3,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,236118,13,9,NA,3,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,2362,4,3,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,2362,4,3,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,23622,4,3,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,23622,4,3,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,236220,4,3,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,236220,4,3,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,237,7,3,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,237,7,3,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,2371,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,2371,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,23711,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,23711,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,237110,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,237110,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,238,57,36,14,4,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,238,57,36,14,4,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,2381,8,5,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,2381,8,5,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,23811,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,23811,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,238110,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,238110,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,2382,22,14,8,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,2382,22,14,8,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,23821,6,3,3,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,23821,6,3,3,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,238210,6,3,3,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,238210,6,3,3,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,23822,16,11,5,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
97009,23822,16,11,5,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41051,Oregon
97009,238220,16,11,5,NA,NA,NA,NA,NA,NA,NA,BORING,OR,CLACKAMAS,0,NA,NA,41005,Oregon
