zip,name,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,city,stabbr,cty_name,coastalZip,coastalCounty,ALLCoastalCounty,state
90001,"LOS ANGELES, CA",G,8427,G,129142,G,570959,666,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90002,"LOS ANGELES, CA",G,2174,G,23426,G,99237,243,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90003,"LOS ANGELES, CA",G,4080,G,38402,G,159984,522,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90004,"LOS ANGELES, CA",G,9993,G,165326,G,641130,1424,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90005,"LOS ANGELES, CA",G,6019,G,63893,G,274760,811,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90006,"LOS ANGELES, CA",G,9015,G,101204,G,419505,1320,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90007,"LOS ANGELES, CA",H,35467,J,526986,J,2387353,920,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90008,"LOS ANGELES, CA",G,3797,G,35179,G,147245,455,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90010,"LOS ANGELES, CA",G,27890,G,455521,H,2026015,2291,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90011,"LOS ANGELES, CA",G,7522,G,91939,G,367369,830,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90012,"LOS ANGELES, CA",G,26132,G,350115,G,1720264,1384,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90013,"LOS ANGELES, CA",G,19679,G,581715,G,2093013,1596,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90014,"LOS ANGELES, CA",G,12402,G,180031,G,748115,1841,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90015,"LOS ANGELES, CA",G,36140,G,641218,G,2559163,2528,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90016,"LOS ANGELES, CA",G,12131,G,182311,G,733405,906,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90017,"LOS ANGELES, CA",G,49040,G,1628873,G,5522603,1932,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90018,"LOS ANGELES, CA",G,5252,G,82613,G,327309,581,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90019,"LOS ANGELES, CA",G,9352,G,117099,G,501635,1437,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90020,"LOS ANGELES, CA",G,6926,G,79812,G,331712,956,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90021,"LOS ANGELES, CA",G,22949,H,405304,G,1515618,2008,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90022,"LOS ANGELES, CA",G,10617,G,154471,G,609937,855,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90023,"LOS ANGELES, CA",G,15473,G,218461,G,865751,914,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90024,"LOS ANGELES, CA",H,28946,G,909877,G,3455914,2345,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90025,"LOS ANGELES, CA",G,37310,G,954867,G,3871254,3939,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90026,"LOS ANGELES, CA",G,11200,G,132453,G,583318,1705,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90027,"LOS ANGELES, CA",G,27624,G,519897,G,2300385,1916,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90028,"LOS ANGELES, CA",G,34891,H,982505,H,3584121,1797,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90029,"LOS ANGELES, CA",G,5389,G,59864,G,255205,731,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90031,"LOS ANGELES, CA",H,10194,H,134664,H,489901,652,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
