fips,county_name,statecode,state,STATE_FIPS,County_FIPS,region,czcty,fema,watershed,shore,shore100,Warehousing_TR_60,Minerals_LDB,urbaninfluence,NonParticipating,ruralurban,Warehousing_NAICS
1003,Baldwin,1,AL,1,3,Gulf of Mexico,1,1,1,1,0,1,0,5,0,3,4
1097,Mobile,1,AL,1,97,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,6
2013,Aleutians East Borough,2,AK,2,13,North Pacific,1,1,1,1,1,1,0,0,0,9,6
2016,Aleutians West Census Area,2,AK,2,16,North Pacific,1,1,1,1,1,1,0,11,0,9,6
2020,Anchorage Municipality,2,AK,2,20,North Pacific,1,1,1,1,0,1,1,2,0,2,6
2050,Bethel Census Area,2,AK,2,50,North Pacific,1,1,1,1,1,1,0,11,0,7,6
2060,Bristol Bay Borough,2,AK,2,60,North Pacific,1,1,1,1,1,1,0,12,0,9,6
2063,Chugach Census Area,2,AK,2,63,North Pacific,1,1,1,1,1,1,0,7,0,9,6
2070,Dillingham Census Area,2,AK,2,70,North Pacific,1,1,1,1,1,1,0,12,0,9,6
2100,Haines Borough,2,AK,2,100,North Pacific,1,1,1,1,1,1,0,10,0,9,6
2105,Hoonah-Angoon Census Area,2,AK,2,105,North Pacific,1,1,1,1,1,1,0,10,0,9,6
2110,Juneau City and Borough,2,AK,2,110,North Pacific,1,1,1,1,1,1,0,8,0,5,6
2122,Kenai Peninsula Borough,2,AK,2,122,North Pacific,1,1,1,1,1,1,0,11,0,7,6
2130,Ketchikan Gateway Borough,2,AK,2,130,North Pacific,1,1,1,1,1,1,0,8,0,7,6
2150,Kodiak Island Borough,2,AK,2,150,North Pacific,1,1,1,1,1,1,0,8,0,7,6
2164,Lake and Peninsula Borough,2,AK,2,164,North Pacific,1,1,1,1,1,1,0,12,0,9,6
2170,Matanuska-Susitna Borough,2,AK,2,170,North Pacific,1,1,1,1,0,1,0,2,0,2,6
2180,Nome Census Area,2,AK,2,180,North Pacific,1,1,1,1,1,1,0,11,0,9,6
2185,North Slope Borough,2,AK,2,185,North Pacific,1,1,1,1,1,1,0,11,0,9,6
2188,Northwest Arctic Borough,2,AK,2,188,North Pacific,1,1,1,1,0,1,0,11,0,9,6
2195,Petersburg Borough,2,AK,2,195,North Pacific,1,1,1,1,1,1,0,11,0,9,6
2198,Prince of Wales-Hyder Census Area,2,AK,2,198,North Pacific,1,1,1,1,1,1,0,12,0,9,6
2201,Prince of Wales-Outer Ketchika,2,AK,2,201,North Pacific,1,1,1,1,1,1,0,12,0,9,6
2220,Sitka City and Borough,2,AK,2,220,North Pacific,1,1,1,1,1,1,0,11,0,7,6
2232,Skagway-Hoonah-Angoon,2,AK,2,232,North Pacific,1,1,1,1,1,1,0,10,0,9,6
2261,Valdez-Cordova Census Area,2,AK,2,261,North Pacific,1,1,1,1,0,1,0,11,0,9,6
2270,Wade Hampton Census Area,2,AK,2,270,North Pacific,1,1,1,1,0,1,0,12,0,9,6
2158,Kusilvak Census Area,2,AK,2,158,North Pacific,1,1,1,1,0,1,0,12,0,9,6
2230,Skagway Municipality,2,AK,2,230,North Pacific,1,1,1,0,1,1,0,12,0,9,6
2275,Wrangell City and Borough,2,AK,2,275,North Pacific,1,1,1,1,0,1,0,11,0,9,6
2282,Yakutat City and Borough,2,AK,2,282,North Pacific,1,1,1,1,0,1,0,12,0,9,6
6001,Alameda,6,CA,6,1,West,1,1,1,1,0,1,0,1,0,1,6
6013,Contra Costa,6,CA,6,13,West,1,1,1,1,0,1,0,1,0,1,6
6015,Del Norte,6,CA,6,15,West,1,1,1,1,0,1,0,8,0,7,6
6023,Humboldt,6,CA,6,23,West,1,1,1,1,0,1,0,8,0,5,4
6037,Los Angeles,6,CA,6,37,West,1,1,1,1,0,1,0,1,0,1,6
6041,Marin,6,CA,6,41,West,1,1,1,1,0,1,0,1,0,1,6
6045,Mendocino,6,CA,6,45,West,1,1,1,1,0,1,0,5,0,4,6
6053,Monterey,6,CA,6,53,West,1,1,1,1,0,1,0,2,0,2,6
6055,Napa,6,CA,6,55,West,1,1,1,0,0,0,0,2,0,3,6
6059,Orange,6,CA,6,59,West,1,1,1,1,0,1,0,1,0,1,6
