ZIP,shore,FIPS,LDB,nonp,State,State_FIPS
602,1,72003,1,0,PR,72
603,1,72005,1,0,PR,72
610,1,72003,1,0,PR,72
612,1,72013,1,0,PR,72
617,1,72017,1,0,PR,72
622,1,72023,1,0,PR,72
623,1,72023,1,0,PR,72
624,1,72111,1,0,PR,72
627,1,72027,1,0,PR,72
646,1,72051,1,0,PR,72
647,1,72055,1,0,PR,72
653,1,72055,1,0,PR,72
656,1,72059,1,0,PR,72
659,1,72065,1,0,PR,72
662,1,72071,1,0,PR,72
667,1,72079,1,0,PR,72
674,1,72091,1,0,PR,72
677,1,72003,1,0,PR,72
678,1,72071,1,0,PR,72
680,1,72011,1,0,PR,72
682,1,72067,1,0,PR,72
690,1,72005,1,0,PR,72
692,1,72143,1,0,PR,72
693,1,72091,1,0,PR,72
694,1,72145,1,0,PR,72
698,1,72059,1,0,PR,72
704,1,72057,1,0,PR,72
707,1,72095,1,0,PR,72
714,1,72015,1,0,PR,72
715,1,72075,1,0,PR,72
716,1,72113,1,0,PR,72
718,1,72037,1,0,PR,72
723,1,72015,1,0,PR,72
728,1,72113,1,0,PR,72
735,1,72037,1,0,PR,72
738,1,72037,1,0,PR,72
740,1,72053,1,0,PR,72
741,1,72069,1,0,PR,72
745,1,72029,1,0,PR,72
751,1,72035,1,0,PR,72
757,1,72133,1,0,PR,72
765,1,72147,1,0,PR,72
767,1,72069,1,0,PR,72
772,1,72087,1,0,PR,72
773,1,72089,1,0,PR,72
775,1,72049,1,0,PR,72
784,1,72035,1,0,PR,72
791,1,72069,1,0,PR,72
795,1,72075,1,0,PR,72
802,1,78030,1,0,VI,78
820,1,78010,1,0,VI,78
830,1,78020,1,0,VI,78
840,1,78010,1,0,VI,78
850,1,78010,1,0,VI,78
851,1,78010,1,0,VI,78
901,1,72127,1,0,PR,72
906,1,72127,1,0,PR,72
907,1,72127,1,0,PR,72
911,1,72127,1,0,PR,72
913,1,72127,1,0,PR,72
915,1,72127,1,0,PR,72
920,1,72127,1,0,PR,72
923,1,72127,1,0,PR,72
924,1,72031,1,0,PR,72
949,1,72033,1,0,PR,72
950,1,72051,1,0,PR,72
962,1,72033,1,0,PR,72
965,1,72061,1,0,PR,72
965,1,72061,1,0,PR,72
979,1,72031,1,0,PR,72
983,1,72031,1,0,PR,72
1431,0,25017,0,1,MA,25
1432,0,25017,0,1,MA,25
1450,0,25017,0,1,MA,25
1460,0,25017,0,1,MA,25
1463,0,25017,0,1,MA,25
1464,0,25017,0,1,MA,25
1469,0,25017,0,1,MA,25
1474,0,25017,0,1,MA,25
1701,0,25017,0,1,MA,25
1702,0,25017,0,1,MA,25
1718,0,25017,0,1,MA,25
1719,0,25017,0,1,MA,25
1720,0,25017,0,1,MA,25
1721,0,25017,0,1,MA,25
1730,0,25017,0,1,MA,25
1731,0,25017,0,1,MA,25
1741,0,25017,0,1,MA,25
1742,0,25017,0,1,MA,25
1746,0,25017,0,1,MA,25
1748,0,25017,0,1,MA,25
1749,0,25017,0,1,MA,25
1752,0,25017,0,1,MA,25
1754,0,25017,0,1,MA,25
1760,0,25017,0,1,MA,25
1770,0,25017,0,1,MA,25
1773,0,25017,0,1,MA,25
1775,0,25017,0,1,MA,25
1776,0,25017,0,1,MA,25
1778,0,25017,0,1,MA,25
1801,0,25017,0,1,MA,25
1803,0,25017,0,1,MA,25
1810,0,25009,0,1,MA,25
1821,0,25017,0,1,MA,25
1824,0,25017,0,1,MA,25
1826,0,25017,0,1,MA,25
1827,0,25017,0,1,MA,25
1830,0,25009,0,1,MA,25
1832,0,25009,0,1,MA,25
1833,0,25009,0,1,MA,25
1834,0,25009,0,1,MA,25
1835,0,25009,0,1,MA,25
1840,0,25009,0,1,MA,25
1841,0,25009,0,1,MA,25
1843,0,25009,0,1,MA,25
1844,0,25009,0,1,MA,25
1845,0,25009,0,1,MA,25
1850,0,25017,0,1,MA,25
1851,0,25017,0,1,MA,25
1852,0,25017,0,1,MA,25
1854,0,25017,0,1,MA,25
1860,0,25009,0,1,MA,25
1862,0,25017,0,1,MA,25
1863,0,25017,0,1,MA,25
1864,0,25017,0,1,MA,25
1867,0,25017,0,1,MA,25
1876,0,25017,0,1,MA,25
1879,0,25017,0,1,MA,25
1880,0,25017,0,1,MA,25
1886,0,25017,0,1,MA,25
1887,0,25017,0,1,MA,25
1890,0,25017,0,1,MA,25
1901,1,25009,0,1,MA,25
1902,1,25009,0,1,MA,25
1904,0,25009,0,1,MA,25
1905,1,25009,0,1,MA,25
1906,1,25009,0,1,MA,25
1907,1,25009,0,1,MA,25
1908,1,25009,0,1,MA,25
1913,0,25009,0,1,MA,25
1915,1,25009,0,1,MA,25
1921,0,25009,0,1,MA,25
1922,0,25009,0,1,MA,25
1923,0,25009,0,1,MA,25
1929,1,25009,0,1,MA,25
1930,1,25009,0,1,MA,25
1937,0,25009,0,1,MA,25
1938,1,25009,0,1,MA,25
1940,0,25009,0,1,MA,25
1944,1,25009,0,1,MA,25
1945,1,25009,0,1,MA,25
1949,0,25009,0,1,MA,25
1950,1,25009,0,1,MA,25
1951,1,25009,0,1,MA,25
1952,1,25009,0,1,MA,25
1960,1,25009,0,1,MA,25
1965,1,25009,0,1,MA,25
1966,1,25009,0,1,MA,25
1969,1,25009,0,1,MA,25
1970,1,25009,0,1,MA,25
1982,0,25009,0,1,MA,25
1983,0,25009,0,1,MA,25
1984,0,25009,0,1,MA,25
1985,0,25009,0,1,MA,25
2019,0,25021,0,1,MA,25
2021,0,25021,0,1,MA,25
2025,1,25023,0,1,MA,25
2026,0,25021,0,1,MA,25
2030,0,25021,0,1,MA,25
2032,0,25021,0,1,MA,25
2035,0,25021,0,1,MA,25
2038,0,25021,0,1,MA,25
2043,1,25023,0,1,MA,25
2045,1,25023,0,1,MA,25
2047,1,25023,0,1,MA,25
2048,0,25005,0,1,MA,25
2050,1,25023,0,1,MA,25
2052,0,25021,0,1,MA,25
2053,0,25021,0,1,MA,25
2054,0,25021,0,1,MA,25
2056,0,25021,0,1,MA,25
2061,0,25023,0,1,MA,25
2062,0,25021,0,1,MA,25
2066,1,25023,0,1,MA,25
2067,0,25021,0,1,MA,25
2071,0,25021,0,1,MA,25
2072,0,25021,0,1,MA,25
2081,0,25021,0,1,MA,25
2090,0,25021,0,1,MA,25
2093,0,25021,0,1,MA,25
2108,0,25025,0,1,MA,25
2109,1,25025,0,1,MA,25
2110,1,25025,0,1,MA,25
2111,0,25025,0,1,MA,25
2113,1,25025,0,1,MA,25
2114,1,25025,0,1,MA,25
2115,0,25025,0,1,MA,25
2116,0,25025,0,1,MA,25
2118,0,25025,0,1,MA,25
2119,0,25025,0,1,MA,25
2120,0,25025,0,1,MA,25
2121,0,25025,0,1,MA,25
2122,1,25025,0,1,MA,25
2124,0,25025,0,1,MA,25
2125,1,25025,0,1,MA,25
2126,0,25025,0,1,MA,25
2127,1,25025,0,1,MA,25
2128,1,25025,0,1,MA,25
2129,1,25025,0,1,MA,25
2130,0,25025,0,1,MA,25
2131,0,25025,0,1,MA,25
2132,0,25025,0,1,MA,25
2133,0,25025,0,1,MA,25
2134,0,25025,0,1,MA,25
2135,0,25025,0,1,MA,25
2136,0,25025,0,1,MA,25
2138,0,25017,0,1,MA,25
2139,0,25017,0,1,MA,25
2140,0,25017,0,1,MA,25
2141,1,25017,0,1,MA,25
2142,1,25017,0,1,MA,25
2143,0,25017,0,1,MA,25
2144,0,25017,0,1,MA,25
2145,1,25017,0,1,MA,25
2148,0,25017,0,1,MA,25
2149,1,25017,0,1,MA,25
2150,1,25025,0,1,MA,25
2151,1,25025,0,1,MA,25
2152,1,25025,0,1,MA,25
